sample_id,host,R1,R2
ECO103-4-12-1_S2,ecoli,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO103-4-12-1_S2_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO103-4-12-1_S2_R2_001.fastq
ECO104-4-5-2_S5,ecoli,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO104-4-5-2_S5_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO104-4-5-2_S5_R2_001.fastq
ECO111_S1,ecoli,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO111_S1_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO111_S1_R2_001.fastq
ECO121-2-1-1_S10,ecoli,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO121-2-1-1_S10_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO121-2-1-1_S10_R2_001.fastq
ECO22-5-F2_S13,ecoli,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO22-5-F2_S13_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO22-5-F2_S13_R2_001.fastq
ECO26-1-3-1_S11,ecoli,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO26-1-3-1_S11_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO26-1-3-1_S11_R2_001.fastq
ECO95-1-6-1_S12,ecoli,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO95-1-6-1_S12_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/ECO95-1-6-1_S12_R2_001.fastq
Efm-3-1_S6,enterococcus,/media/analysis/PortableSSD/naim_hoca/fastq_files/Efm-3-1_S6_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/Efm-3-1_S6_R2_001.fastq
Efs-1-1-1_S7,enterococcus,/media/analysis/PortableSSD/naim_hoca/fastq_files/Efs-1-1-1_S7_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/Efs-1-1-1_S7_R2_001.fastq
LM-11_S16,listeria,/media/analysis/PortableSSD/naim_hoca/fastq_files/LM-11_S16_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/LM-11_S16_R2_001.fastq
LM-4-14_S18,listeria,/media/analysis/PortableSSD/naim_hoca/fastq_files/LM-4-14_S18_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/LM-4-14_S18_R2_001.fastq
SA-1298-Kayseri-MAS_S9,staphylococcus,/media/analysis/PortableSSD/naim_hoca/fastq_files/SA-1298-Kayseri-MAS_S9_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/SA-1298-Kayseri-MAS_S9_R2_001.fastq
SA-1306-Kayseri-MAS_S15,staphylococcus,/media/analysis/PortableSSD/naim_hoca/fastq_files/SA-1306-Kayseri-MAS_S15_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/SA-1306-Kayseri-MAS_S15_R2_001.fastq
S-Ent-1-35-3_S4,salmonella,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Ent-1-35-3_S4_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Ent-1-35-3_S4_R2_001.fastq
S-Hadar-4-5-1_S8,salmonella,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Hadar-4-5-1_S8_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Hadar-4-5-1_S8_R2_001.fastq
S-Inf-F2_S14,salmonella,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Inf-F2_S14_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Inf-F2_S14_R2_001.fastq
S-Kent-1-2-1_S3,salmonella,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Kent-1-2-1_S3_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Kent-1-2-1_S3_R2_001.fastq
S-Typ-Adana-MAS_S17,salmonella,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Typ-Adana-MAS_S17_R1_001.fastq,/media/analysis/PortableSSD/naim_hoca/fastq_files/S-Typ-Adana-MAS_S17_R2_001.fastq
